Source,Target,IntervalNumber,StartTime,EndTime,Duration,DurationRatio,RangeMax,RangeMin,RangeRate,LinkID,LinkType
LEO_16 +X_OCT,LEO_37 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,1611843.8468,1023234.8765,30,LEO_16 +X_OCT--LEO_37 +X_OCT--1,LEO_LEO
LEO_16 +X_OCT,LEO_37 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,1611843.9955,1023235.1156,30,LEO_16 +X_OCT--LEO_37 +Y_OCT--1,LEO_LEO
LEO_16 +X_OCT,LEO_58 +Y_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7859063.4576,7626360.0041,30,LEO_16 +X_OCT--LEO_58 +Y_OCT--3,LEO_LEO
LEO_17 +X_OCT,LEO_60 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4561438.2783,4447854.4051,30,LEO_17 +X_OCT--LEO_60 -X_OCT--1,LEO_LEO
LEO_17 +X_OCT,LEO_60 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4561438.4176,4447854.4536,30,LEO_17 +X_OCT--LEO_60 +Y_OCT--1,LEO_LEO
LEO_18 +X_OCT,LEO_41 -Y_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7916420.4495,7709555.4971,30,LEO_18 +X_OCT--LEO_41 -Y_OCT--4,LEO_LEO
LEO_18 +X_OCT,LEO_48 -Y_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7708499.1067,7284485.2408,30,LEO_18 +X_OCT--LEO_48 -Y_OCT--3,LEO_LEO
LEO_19 +X_OCT,LEO_27 +Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,5536549.2319,5433583.6238,30,LEO_19 +X_OCT--LEO_27 +Y_OCT--2,LEO_LEO
LEO_20 +X_OCT,LEO_49 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,5453372.4414,5412511.978,30,LEO_20 +X_OCT--LEO_49 -X_OCT--1,LEO_LEO
LEO_20 +X_OCT,LEO_49 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,5453372.4059,5412511.8616,30,LEO_20 +X_OCT--LEO_49 -Y_OCT--1,LEO_LEO
LEO_20 +X_OCT,LEO_56 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4832545.1667,4266860.4824,30,LEO_20 +X_OCT--LEO_56 +X_OCT--1,LEO_LEO
LEO_21 +X_OCT,LEO_64 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4561438.2783,4447854.4051,30,LEO_21 +X_OCT--LEO_64 -X_OCT--1,LEO_LEO
LEO_21 +X_OCT,LEO_64 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4561438.4176,4447854.4536,30,LEO_21 +X_OCT--LEO_64 -Y_OCT--1,LEO_LEO
LEO_22 +X_OCT,LEO_44 +Y_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7708499.1067,7284485.2408,30,LEO_22 +X_OCT--LEO_44 +Y_OCT--3,LEO_LEO
LEO_22 +X_OCT,LEO_45 +Y_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7916420.4495,7709555.4971,30,LEO_22 +X_OCT--LEO_45 +Y_OCT--4,LEO_LEO
LEO_23 +X_OCT,LEO_31 -Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,5536549.2319,5433583.6238,30,LEO_23 +X_OCT--LEO_31 -Y_OCT--2,LEO_LEO
LEO_24 +X_OCT,LEO_52 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4832545.1667,4266860.4824,30,LEO_24 +X_OCT--LEO_52 +X_OCT--1,LEO_LEO
LEO_24 +X_OCT,LEO_53 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,5453372.4414,5412511.978,30,LEO_24 +X_OCT--LEO_53 -X_OCT--1,LEO_LEO
LEO_24 +X_OCT,LEO_53 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,5453372.4059,5412511.8616,30,LEO_24 +X_OCT--LEO_53 +Y_OCT--1,LEO_LEO
LEO_25 +X_OCT,LEO_48 -Y_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7816963.2664,7587001.2751,30,LEO_25 +X_OCT--LEO_48 -Y_OCT--4,LEO_LEO
LEO_26 +X_OCT,LEO_42 -X_OCT,9,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8097329.9371,8010034.8248,20,LEO_26 +X_OCT--LEO_42 -X_OCT--9,LEO_LEO
LEO_26 +X_OCT,LEO_42 -Y_OCT,6,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8097330.1284,8010034.9815,20,LEO_26 +X_OCT--LEO_42 -Y_OCT--6,LEO_LEO
LEO_27 +X_OCT,LEO_42 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,3512919.6702,3481179.6038,30,LEO_27 +X_OCT--LEO_42 -Y_OCT--1,LEO_LEO
LEO_27 +X_OCT,LEO_50 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7409909.9049,7340535.0241,30,LEO_27 +X_OCT--LEO_50 -X_OCT--1,LEO_LEO
LEO_27 +X_OCT,LEO_50 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7409909.9049,7340534.9717,30,LEO_27 +X_OCT--LEO_50 -Y_OCT--1,LEO_LEO
LEO_29 +X_OCT,LEO_44 +Y_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7816963.2664,7587001.2751,30,LEO_29 +X_OCT--LEO_44 +Y_OCT--4,LEO_LEO
LEO_30 +X_OCT,LEO_46 -X_OCT,9,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8097329.9371,8010034.8248,20,LEO_30 +X_OCT--LEO_46 -X_OCT--9,LEO_LEO
LEO_30 +X_OCT,LEO_46 +Y_OCT,6,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8097330.1284,8010034.9815,20,LEO_30 +X_OCT--LEO_46 +Y_OCT--6,LEO_LEO
LEO_31 +X_OCT,LEO_46 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,3512919.6702,3481179.6038,30,LEO_31 +X_OCT--LEO_46 +Y_OCT--1,LEO_LEO
LEO_31 +X_OCT,LEO_54 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7409909.9049,7340535.0241,30,LEO_31 +X_OCT--LEO_54 -X_OCT--1,LEO_LEO
LEO_31 +X_OCT,LEO_54 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7409909.9049,7340534.9717,30,LEO_31 +X_OCT--LEO_54 +Y_OCT--1,LEO_LEO
LEO_50 +X_OCT,LEO_58 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4458705.2988,4428762.609,30,LEO_50 +X_OCT--LEO_58 -Y_OCT--1,LEO_LEO
LEO_54 +X_OCT,LEO_62 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,4458705.2988,4428762.609,30,LEO_54 +X_OCT--LEO_62 +Y_OCT--1,LEO_LEO
LEO_1 -X_OCT,LEO_22 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7536886.0273,7312345.0613,30,LEO_1 -X_OCT--LEO_22 +X_OCT--1,LEO_LEO
LEO_1 -X_OCT,LEO_36 -X_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,5013673.2868,4447559.8603,30,LEO_1 -X_OCT--LEO_36 -X_OCT--4,LEO_LEO
LEO_2 -X_OCT,LEO_57 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,5503915.2676,5400099.6577,30,LEO_2 -X_OCT--LEO_57 +Y_OCT--1,LEO_LEO
LEO_3 -X_OCT,LEO_24 +X_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7464138.869,7242472.8588,30,LEO_3 -X_OCT--LEO_24 +X_OCT--3,LEO_LEO
LEO_3 -X_OCT,LEO_43 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7990078.0038,7771710.5127,30,LEO_3 -X_OCT--LEO_43 -Y_OCT--1,LEO_LEO
LEO_3 -X_OCT,LEO_44 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7841805.7917,7421277.3506,30,LEO_3 -X_OCT--LEO_44 -Y_OCT--1,LEO_LEO
LEO_5 -X_OCT,LEO_18 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7536886.0273,7312345.0613,30,LEO_5 -X_OCT--LEO_18 +X_OCT--1,LEO_LEO
LEO_5 -X_OCT,LEO_40 -X_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,5013673.2868,4447559.8603,30,LEO_5 -X_OCT--LEO_40 -X_OCT--4,LEO_LEO
